Entity,Code,Year,Annual CO2 emissions from coal (zero filled),Annual CO2 emissions from gas (zero filled),Annual CO2 emissions from cement (zero filled),Annual CO2 emissions from flaring (zero filled),Annual CO2 emissions from oil (zero filled),Annual CO2 emissions from other industry (zero filled)
India,IND,1750,0,0,0,0,0,0
India,IND,1751,0,0,0,0,0,0
India,IND,1752,0,0,0,0,0,0
India,IND,1753,0,0,0,0,0,0
India,IND,1754,0,0,0,0,0,0
India,IND,1755,0,0,0,0,0,0
India,IND,1756,0,0,0,0,0,0
India,IND,1757,0,0,0,0,0,0
India,IND,1758,0,0,0,0,0,0
India,IND,1759,0,0,0,0,0,0
India,IND,1760,0,0,0,0,0,0
India,IND,1761,0,0,0,0,0,0
India,IND,1762,0,0,0,0,0,0
India,IND,1763,0,0,0,0,0,0
India,IND,1764,0,0,0,0,0,0
India,IND,1765,0,0,0,0,0,0
India,IND,1766,0,0,0,0,0,0
India,IND,1767,0,0,0,0,0,0
India,IND,1768,0,0,0,0,0,0
India,IND,1769,0,0,0,0,0,0
India,IND,1770,0,0,0,0,0,0
India,IND,1771,0,0,0,0,0,0
India,IND,1772,0,0,0,0,0,0
India,IND,1773,0,0,0,0,0,0
India,IND,1774,0,0,0,0,0,0
India,IND,1775,0,0,0,0,0,0
India,IND,1776,0,0,0,0,0,0
India,IND,1777,0,0,0,0,0,0
India,IND,1778,0,0,0,0,0,0
India,IND,1779,0,0,0,0,0,0
India,IND,1780,0,0,0,0,0,0
India,IND,1781,0,0,0,0,0,0
India,IND,1782,0,0,0,0,0,0
India,IND,1783,0,0,0,0,0,0
India,IND,1784,0,0,0,0,0,0
India,IND,1785,0,0,0,0,0,0
India,IND,1786,0,0,0,0,0,0
India,IND,1787,0,0,0,0,0,0
India,IND,1788,0,0,0,0,0,0
India,IND,1789,0,0,0,0,0,0
India,IND,1790,0,0,0,0,0,0
India,IND,1791,0,0,0,0,0,0
India,IND,1792,0,0,0,0,0,0
India,IND,1793,0,0,0,0,0,0
India,IND,1794,0,0,0,0,0,0
India,IND,1795,0,0,0,0,0,0
India,IND,1796,0,0,0,0,0,0
India,IND,1797,0,0,0,0,0,0
India,IND,1798,0,0,0,0,0,0
India,IND,1799,0,0,0,0,0,0
India,IND,1800,0,0,0,0,0,0
India,IND,1801,0,0,0,0,0,0
India,IND,1802,0,0,0,0,0,0
India,IND,1803,0,0,0,0,0,0
India,IND,1804,0,0,0,0,0,0
India,IND,1805,0,0,0,0,0,0
India,IND,1806,0,0,0,0,0,0
India,IND,1807,0,0,0,0,0,0
India,IND,1808,0,0,0,0,0,0
India,IND,1809,0,0,0,0,0,0
India,IND,1810,0,0,0,0,0,0
India,IND,1811,0,0,0,0,0,0
India,IND,1812,0,0,0,0,0,0
India,IND,1813,0,0,0,0,0,0
India,IND,1814,0,0,0,0,0,0
India,IND,1815,0,0,0,0,0,0
India,IND,1816,0,0,0,0,0,0
India,IND,1817,0,0,0,0,0,0
India,IND,1818,0,0,0,0,0,0
India,IND,1819,0,0,0,0,0,0
India,IND,1820,0,0,0,0,0,0
India,IND,1821,0,0,0,0,0,0
India,IND,1822,0,0,0,0,0,0
India,IND,1823,0,0,0,0,0,0
India,IND,1824,0,0,0,0,0,0
India,IND,1825,0,0,0,0,0,0
India,IND,1826,0,0,0,0,0,0
India,IND,1827,0,0,0,0,0,0
India,IND,1828,0,0,0,0,0,0
India,IND,1829,0,0,0,0,0,0
India,IND,1830,0,0,0,0,0,0
India,IND,1831,0,0,0,0,0,0
India,IND,1832,0,0,0,0,0,0
India,IND,1833,0,0,0,0,0,0
India,IND,1834,0,0,0,0,0,0
India,IND,1835,0,0,0,0,0,0
India,IND,1836,0,0,0,0,0,0
India,IND,1837,0,0,0,0,0,0
India,IND,1838,0,0,0,0,0,0
India,IND,1839,0,0,0,0,0,0
India,IND,1840,0,0,0,0,0,0
India,IND,1841,0,0,0,0,0,0
India,IND,1842,0,0,0,0,0,0
India,IND,1843,0,0,0,0,0,0
India,IND,1844,0,0,0,0,0,0
India,IND,1845,0,0,0,0,0,0
India,IND,1846,0,0,0,0,0,0
India,IND,1847,0,0,0,0,0,0
India,IND,1848,0,0,0,0,0,0
India,IND,1849,0,0,0,0,0,0
India,IND,1850,0,0,0,0,0,0
India,IND,1851,0,0,0,0,0,0
India,IND,1852,0,0,0,0,0,0
India,IND,1853,0,0,0,0,0,0
India,IND,1854,0,0,0,0,0,0
India,IND,1855,0,0,0,0,0,0
India,IND,1856,0,0,0,0,0,0
India,IND,1857,0,0,0,0,0,0
India,IND,1858,395050,0,0,0,0,0
India,IND,1859,637391,0,0,0,0,0
India,IND,1860,644031,0,0,0,0,0
India,IND,1861,497962,0,0,0,0,0
India,IND,1862,551078,0,0,0,0,0
India,IND,1863,610834,0,0,0,0,0
India,IND,1864,577636,0,0,0,0,0
India,IND,1865,567677,0,0,0,0,0
India,IND,1866,640711,0,0,0,0,0
India,IND,1867,0,0,0,0,0,0
India,IND,1868,0,0,0,0,0,0
India,IND,1869,0,0,0,0,0,0
India,IND,1870,0,0,0,0,0,0
India,IND,1871,0,0,0,0,0,0
India,IND,1872,0,0,0,0,0,0
India,IND,1873,0,0,0,0,0,0
India,IND,1874,0,0,0,0,0,0
India,IND,1875,0,0,0,0,0,0
India,IND,1876,0,0,0,0,0,0
India,IND,1877,0,0,0,0,0,0
India,IND,1878,1769425,0,0,0,0,0
India,IND,1879,1613397,0,0,0,73280,0
India,IND,1880,1779385,0,0,0,109920,0
India,IND,1881,1742705,0,0,0,99108,0
India,IND,1882,1971930,0,0,0,227168,0
India,IND,1883,2293945,0,0,0,150224,0
India,IND,1884,2436695,0,0,0,296784,0
India,IND,1885,2257428,0,0,0,205184,0
India,IND,1886,2420096,0,0,0,355408,0
India,IND,1887,2725853,0,0,0,344040,0
India,IND,1888,2978202,0,0,0,435587,0
India,IND,1889,3392782,0,0,0,633872,0
India,IND,1890,3781192,0,0,0,655856,0
India,IND,1891,4060051,0,0,0,718144,0
India,IND,1892,4422387,0,0,0,831195,0
India,IND,1893,4465659,0,0,0,1083883,0
India,IND,1894,4916546,0,0,0,707152,0
India,IND,1895,6171033,0,0,0,872448,0
India,IND,1896,6712168,0,0,0,905407,0
India,IND,1897,7090980,0,0,0,1172480,0
India,IND,1898,8034156,0,0,0,1102459,0
India,IND,1899,8883644,0,0,0,1183472,0
India,IND,1900,10669668,0,0,0,1275072,0
India,IND,1901,11569320,0,0,0,1626816,0
India,IND,1902,12944027,0,0,0,1589809,0
India,IND,1903,12970253,0,0,0,1850320,0
India,IND,1904,14328030,0,0,0,2253360,0
India,IND,1905,14679923,0,0,0,2271680,0
India,IND,1906,17060182,0,0,0,2513504,0
India,IND,1907,19440441,0,0,0,2359616,0
India,IND,1908,22268865,0,0,0,2671056,0
India,IND,1909,20698625,0,0,0,3473472,0
India,IND,1910,21007361,0,0,0,2509840,0
India,IND,1911,22175912,0,0,0,2638080,0
India,IND,1912,25645048,0,0,0,2912880,0
India,IND,1913,28264329,0,0,0,3242640,0
India,IND,1914,28712205,0,0,0,3026783,0
India,IND,1915,29827930,0,0,0,3356224,0
India,IND,1916,30087185,0,0,0,3473125,0
India,IND,1917,31760023,0,0,0,3304928,0
India,IND,1918,36138770,0,0,0,3271952,0
India,IND,1919,39458769,0,0,0,3572122,0
India,IND,1920,31321816,0,0,0,3590720,0
India,IND,1921,33662238,0,0,0,3891168,0
India,IND,1922,33151309,0,0,0,3799223,0
India,IND,1923,34279711,0,0,0,3740944,0
India,IND,1924,36931910,0,0,0,3748581,0
India,IND,1925,36451105,0,0,0,3685677,0
India,IND,1926,36620133,0,0,0,3374544,0
India,IND,1927,38509069,0,0,0,3429504,0
India,IND,1928,39312448,0,288820,0,527616,0
India,IND,1929,40839532,0,292571,0,633872,0
India,IND,1930,41510121,0,292571,0,655856,0
India,IND,1931,37868358,0,300073,0,736464,0
India,IND,1932,35142846,0,303823,0,732800,0
India,IND,1933,34508774,0,318827,0,688832,0
India,IND,1934,38465913,0,390094,0,809744,0
India,IND,1935,40139065,0,453860,0,857376,0
India,IND,1936,39431959,0,498871,0,809744,0
India,IND,1937,43661317,0,581391,0,886688,0
India,IND,1938,49427718,0,0,0,1022256,0
India,IND,1939,48428416,0,0,0,952704,0
India,IND,1940,51250260,0,0,0,1132176,0
India,IND,1941,51383050,0,1084012,0,1187136,0
India,IND,1942,51326614,0,1132774,0,1143168,0
India,IND,1943,44491112,0,1095343,0,1121264,0
India,IND,1944,45563395,0,1057830,0,1139584,0
India,IND,1945,50865169,0,1110268,0,970960,0
India,IND,1946,50393765,0,1005243,0,897680,0
India,IND,1947,51741498,0,750228,0,762160,0
India,IND,1948,51701745,0,806445,0,769440,0
India,IND,1949,54400700,0,1087763,0,776768,0
India,IND,1950,52634594,0,1354077,0,7188768,0
India,IND,1951,54589926,0,1657901,0,7851952,0
India,IND,1952,58112600,0,1834102,0,7562119,0
India,IND,1953,59151258,0,1957973,0,7679744,0
India,IND,1954,60678342,0,2280551,0,9541056,0
India,IND,1955,63802225,0,2325562,0,12750720,0
India,IND,1956,65249634,0,2554367,0,13945184,0
India,IND,1957,72941489,0,2903202,0,15894432,0
India,IND,1958,75926580,0,3154401,0,16842813,0
India,IND,1959,79636759,0,3537223,0,18386566,0
India,IND,1960,88003183,0,4002217,0,19444848,0
India,IND,1961,95020481,3664,4204885,0,21310423,0
India,IND,1962,103407487,10992,4380947,43967,24885252,0
India,IND,1963,110577465,10992,4771153,135568,27106272,0
India,IND,1964,106075150,21985,4943815,476332,28121885,0
India,IND,1965,116621982,282134,5397674,751137,30814921,0
India,IND,1966,117150565,311440,5569961,831728,35676368,0
India,IND,1967,119265244,487312,5820807,1454608,32697536,0
India,IND,1968,124002523,751120,5872180,1370336,42249584,0
India,IND,1969,123543454,996627,6438390,1260440,45350200,0
India,IND,1970,123726984,923328,6494620,1421632,49332096,0
India,IND,1971,127147379,1084525,7052059,1417943,55442660,0
India,IND,1972,134568224,1205476,7363109,1212804,58877807,0
India,IND,1973,138005218,1168816,6920663,1447280,61749392,0
India,IND,1974,145846461,1359344,6500907,1725744,60628208,0
India,IND,1975,161567814,1733097,7288268,2011565,61838227,0
India,IND,1976,169161047,2293664,8279466,1817344,63438496,0
India,IND,1977,177762512,2480528,8322332,2092144,68557104,0
India,IND,1978,174937407,2740672,8420936,1982224,75317184,0
India,IND,1979,180879755,3030128,7751954,2216720,82663504,0
India,IND,1980,197617921,2487856,7544839,1165152,83176464,0
India,IND,1981,210604773,2883568,8887727,3176688,89713040,0
India,IND,1982,213426558,4360160,9676066,3814224,94406624,0
India,IND,1983,232850400,5243184,10950501,4316192,99169824,0
India,IND,1984,231822407,6170118,12592760,5199167,106104774,0
India,IND,1985,253649757,7199698,14389872,5953949,116759685,0
India,IND,1986,273560462,10310496,16005568,4964720,121857312,0
India,IND,1987,292271683,12776272,16411638,6628126,127671122,0
India,IND,1988,317623468,15205600,18228972,7470896,133615088,0
India,IND,1989,340109283,18517739,20790914,11002922,150714021,0
India,IND,1990,367035725,21097187,22347914,9870757,158166611,0
India,IND,1991,393602526,23563184,24503037,7833632,166422544,0
India,IND,1992,412000566,27256496,25156198,3565072,188054800,0
India,IND,1993,433738272,26996352,26602355,3700640,186878656,0
India,IND,1994,456366793,29000420,28540079,4056028,198954242,0
India,IND,1995,472394586,39050735,31103789,3290257,216281275,0
India,IND,1996,505216962,39746906,34079363,3715280,243160345,0
India,IND,1997,528473902,46023504,37418160,3568736,244201936,0
India,IND,1998,524871976,47595360,39026475,3312256,262892000,0
India,IND,1999,561326122,42315536,44592480,3004480,300510056,0
India,IND,2000,573692181,43872736,45957013,3110736,312286549,0
India,IND,2001,582911931,43568933,46739658,3224343,316115271,0
India,IND,2002,599450101,47133696,49111237,2744336,324587833,0
India,IND,2003,626781581,49987952,50880079,2029856,329936696,0
India,IND,2004,670922109,49584753,55544666,1901610,347518127,0
India,IND,2005,722496537,50438624,59686569,1685440,351646194,0
India,IND,2006,774666367,49442016,64905401,1839328,368891165,0
India,IND,2007,843677275,52695648,68333266,2418240,391027790,0
India,IND,2008,912092836,63046601,73244725,2114133,412316303,0
India,IND,2009,985348666,112684767,81267957,1905276,431609933,0
India,IND,2010,1017375668,134244240,86029240,1864976,438373461,0
India,IND,2011,1091464571,136364239,91314496,2077488,458909201,0
India,IND,2012,1247112478,125604798,100237156,2077488,488554125,0
India,IND,2013,1320664418,110689227,107819842,2121456,495642138,0
India,IND,2014,1447722853,109467500,115824896,1674448,511166221,0
India,IND,2015,1487725704,106870633,117507915,1674448,554788779,0
India,IND,2016,1530270592,113622467,123281311,1883293,613165557,0
India,IND,2017,1561223559,118922003,121047241,1575522,631087430,0
India,IND,2018,1677771190,126201229,138964893,1678112,655190293,0
India,IND,2019,1677934376,128680060,143664137,1678112,674011463,0
India,IND,2020,1587552167,126984149,122908202,1678112,602669683,0