Code,Country,Year,Overall CO2 in tonnes,CO2 per capita,Population,Annual coal CO2,Annual gas CO2,Annual cement CO2,Annual CO2 flaring,Annual CO2 oil,Shares of annual global CO2,Coal production,Coal consumption,Temp abnormal,
IND,India,1970,181.899,0.328,"555,189,797","123,726,984","923,328","6,494,620","1,421,632","49,332,096",1.22,468.881,436.809,0.02,
IND,India,1971,192.145,0.338,"567,868,021","127,147,379","1,084,525","7,052,059","1,417,943","55,442,660",1.24,456.958,442.872,-0.56,
IND,India,1972,203.227,0.35,"581,087,255","134,568,224","1,205,476","7,363,109","1,212,804","58,877,807",1.25,481.351,467.683,0.12,
IND,India,1973,209.291,0.352,"594,770,136","138,005,218","1,168,816","6,920,663","1,447,280","61,749,392",1.23,495.424,461.449,0.14,
IND,India,1974,216.061,0.355,"608,802,595","145,846,461","1,359,344","6,500,907","1,725,744","60,628,208",1.27,535.073,520.856,-0.02,
IND,India,1975,234.439,0.376,"623,102,900","161,567,814","1,733,097","7,288,268","2,011,565","61,838,227",1.38,610.205,559.906,-0.31,
IND,India,1976,244.99,0.384,"637,630,085","169,161,047","2,293,664","8,279,466","1,817,344","63,438,496",1.36,641.793,583.035,-0.04,
IND,India,1977,259.215,0.397,"652,408,766","177,762,512","2,480,528","8,322,332","2,092,144","68,557,104",1.4,637.995,610.346,0.02,
IND,India,1978,263.398,0.395,"667,499,815","174,937,407","2,740,672","8,420,936","1,982,224","75,317,184",1.38,646.024,590.664,-0.22,
IND,India,1979,276.542,0.405,"682,995,348","180,879,755","3,030,128","7,751,954","2,216,720","82,663,504",1.41,658.195,627.493,0.22,
IND,India,1980,291.992,0.418,"698,952,837","197,617,921","2,487,856","7,544,839","1,165,152","83,176,464",1.5,540.409,659.565,0.36,
IND,India,1981,315.266,0.441,"715,384,997","210,604,773","2,883,568","8,887,727","3,176,688","89,713,040",1.66,741.744,742.142,-0.04,
IND,India,1982,325.684,0.445,"732,239,498","213,426,558","4,360,160","9,676,066","3,814,224","94,406,624",1.73,734.245,733.904,-0.04,
IND,India,1983,352.53,0.47,"749,428,958","232,850,400","5,243,184","10,950,501","4,316,192","99,169,824",1.86,776.837,779.048,-0.24,
IND,India,1984,361.889,0.472,"766,833,411","231,822,407","6,170,118","12,592,760","5,199,167","106,104,774",1.84,815.065,818.311,-0.09,
IND,India,1985,397.953,0.507,"784,360,012","253,649,757","7,199,698","14,389,872","5,953,949","116,759,685",1.96,841.709,857.397,0.26,
IND,India,1986,426.699,0.532,"801,975,250","273,560,462","10,310,496","16,005,568","4,964,720","121,857,312",2.07,905.426,921.24,0,
IND,India,1987,455.759,0.556,"819,682,095","292,271,683","12,776,272","16,411,638","6,628,126","127,671,122",2.14,992.484,1011.63,0.56,
IND,India,1988,492.144,0.588,"837,468,938","317,623,468","15,205,600","18,228,972","7,470,896","133,615,088",2.23,1055.136,1085.557,0.56,
IND,India,1989,541.135,0.633,"855,334,675","340,109,283","18,517,739","20,790,914","11,002,922","150,714,021",2.42,1147.427,1179.941,-0.03,
IND,India,1990,578.518,0.662,"873,277,799","367,035,725","21,097,187","22,347,914","9,870,757","158,166,611",2.54,1236.167,1276.025,-0.02,
IND,India,1991,615.925,0.691,"891,273,202","393,602,526","23,563,184","24,503,037","7,833,632","166,422,544",2.65,1321.824,1357.878,0.12,
IND,India,1992,656.033,0.722,"909,307,018","412,000,566","27,256,496","25,156,198","3,565,072","188,054,800",2.91,1395.098,1438.257,0.01,
IND,India,1993,677.916,0.731,"927,403,866","433,738,272","26,996,352","26,602,355","3,700,640","186,878,656",2.97,1441.369,1489.625,0.24,
IND,India,1994,716.918,0.758,"945,601,828","456,366,793","29,000,420","28,540,079","4,056,028","198,954,242",3.12,1466.095,1537.287,0.28,
IND,India,1995,762.121,0.791,"963,922,586","472,394,586","39,050,735","31,103,789","3,290,257","216,281,275",3.25,1547.903,1631.613,0.36,
IND,India,1996,825.919,0.841,"982,365,248","505,216,962","39,746,906","34,079,363","3,715,280","243,160,345",3.42,1658.954,1678.483,0.3,
IND,India,1997,859.686,0.859,"1,000,900,028","528,473,902","46,023,504","37,418,160","3,568,736","244,201,936",3.54,1713.905,1755.363,-0.07,
IND,India,1998,877.698,0.861,"1,019,483,586","524,871,976","47,595,360","39,026,475","3,312,256","262,892,000",3.63,1703.446,1813.659,0.67,
IND,India,1999,951.749,0.917,"1,038,058,154","561,326,122","42,315,536","44,592,480","3,004,480","300,510,056",3.88,1666.204,1796.674,0.51,
IND,India,2000,978.919,0.926,"1,056,575,548","573,692,181","43,872,736","45,957,013","3,110,736","312,286,549",3.88,1771.192,1911.166,0.38,
IND,India,2001,992.56,0.923,"1,075,000,094","582,911,931","43,568,933","46,739,658","3,224,343","316,115,271",3.9,1793.757,1926.953,0.51,
IND,India,2002,1023.027,0.936,"1,093,317,187","599,450,101","47,133,696","49,111,237","2,744,336","324,587,833",3.93,1873.272,2012.79,0.83,
IND,India,2003,1059.616,0.953,"1,111,523,146","626,781,581","49,987,952","50,880,079","2,029,856","329,936,696",3.87,1954.734,2107.984,0.63,
IND,India,2004,1125.471,0.996,"1,129,623,466","670,922,109","49,584,753","55,544,666","1,901,610","347,518,127",3.93,2110.972,2243.529,0.61,
IND,India,2005,1185.953,1.033,"1,147,609,924","722,496,537","50,438,624","59,686,569","1,685,440","351,646,194",4.01,2207.16,2456.113,0.49,
IND,India,2006,1259.744,1.081,"1,165,486,291","774,666,367","49,442,016","64,905,401","1,839,328","368,891,165",4.12,2303.685,2550.426,0.76,
IND,India,2007,1358.152,1.148,"1,183,209,471","843,677,275","52,695,648","68,333,266","2,418,240","391,027,790",4.31,2446.755,2791.544,0.6,
IND,India,2008,1462.815,1.218,"1,200,669,762","912,092,836","63,046,601","73,244,725","2,114,133","412,316,303",4.56,2647.513,3020.684,0.36,
IND,India,2009,1612.817,1.324,"1,217,726,217","985,348,666","112,684,767","81,267,957","1,905,276","431,609,933",5.1,2857.771,3267.833,1.21,
IND,India,2010,1677.888,1.359,"1,234,281,163","1,017,375,668","134,244,240","86,029,240","1,864,976","438,373,461",5.03,2937.109,3378.533,1.17,
IND,India,2011,1780.13,1.424,"1,250,287,939","1,091,464,571","136,364,239","91,314,496","2,077,488","458,909,201",5.16,2915.217,3542.897,0.5,
IND,India,2012,1963.586,1.551,"1,265,780,243","1,247,112,478","125,604,798","100,237,156","2,077,488","488,554,125",5.61,2966.21,3837.758,0.48,
IND,India,2013,2036.937,1.59,"1,280,842,119","1,320,664,418","110,689,227","107,819,842","2,121,456","495,642,138",5.77,2974.117,4106.998,0.37,
IND,India,2014,2185.856,1.687,"1,295,600,768","1,447,722,853","109,467,500","115,824,896","1,674,448","511,166,221",6.15,3133.724,4509.64,0.5,
IND,India,2015,2268.567,1.732,"1,310,152,392","1,487,725,704","106,870,633","117,507,915","1,674,448","554,788,779",6.39,3268.103,4598.246,0.87,
IND,India,2016,2382.223,1.799,"1,324,517,250","1,530,270,592","113,622,467","123,281,311","1,883,293","613,165,557",6.72,3301.831,4678.424,1.06,
IND,India,2017,2433.856,1.818,"1,338,676,779","1,561,223,559","118,922,003","121,047,241","1,575,522","631,087,430",6.77,3329.753,4844.708,0.9,
IND,India,2018,2599.806,1.922,"1,352,642,283","1,677,771,190","126,201,229","138,964,893","1,678,112","655,190,293",7.09,3555.345,5163.249,,
IND,India,2019,2625.968,1.922,"1,366,417,756","1,677,934,376","128,680,060","143,664,137","1,678,112","674,011,463",7.15,3499.012,5166.018,,
IND,India,2020,2441.792,1.769,"1,380,004,385","1,587,552,167","126,984,149","122,908,202","1,678,112","602,669,683",7.02,3522.966,4871.306,,