years,Surface temperature anomaly
1970,0.02
1971,-0.56
1972,0.12
1973,0.14
1974,-0.02
1975,-0.31
1976,-0.04
1977,0.02
1978,-0.22
1979,0.22
1980,0.36
1981,-0.04
1982,-0.04
1983,-0.24
1984,-0.09
1985,0.26
1986,0
1987,0.56
1988,0.56
1989,-0.03
1990,-0.02
1991,0.12
1992,0.01
1993,0.24
1994,0.28
1995,0.36
1996,0.3
1997,-0.07
1998,0.67
1999,0.51
2000,0.38
2001,0.51
2002,0.83
2003,0.63
2004,0.61
2005,0.49
2006,0.76
2007,0.6
2008,0.36
2009,1.21
2010,1.17
2011,0.5
2012,0.48
2013,0.37
2014,0.5
2015,0.87
2016,1.06
2017,0.9